318,ʉ,close,central,rounded,ü
317,ɨ,close,central,unrounded,ï
316,ɯ,close,back,unrounded,û
309,y,close,front,rounded,y
308,u,close,back,rounded,u
301,i,close,front,unrounded,i
321,ʊ,near-close,near-back,rounded,ù
320,ʏ,near-close,near-front,rounded,ÿ
319,ɪ,near-close,near-front,unrounded,ì
397,ɘ,close-mid,central,unrounded,ê
323,ɵ,close-mid,central,rounded,ô
315,ɤ,close-mid,back,unrounded,ë
310,ø,close-mid,front,rounded,ö
307,o,close-mid,back,rounded,o
302,e,close-mid,front,unrounded,e
322,ə,mid,central,,é
395,ɞ,open-mid,central,rounded,ő
326,ɜ,open-mid,central,unrounded,ě
314,ʌ,open-mid,back,unrounded,â
311,œ,open-mid,front,rounded,œ
306,ɔ,open-mid,back,rounded,ò
303,ɛ,open-mid,front,unrounded,è
325,æ,near-open,front,unrounded,ä
324,ɐ,near-open,central,,à
313,ɒ,open,back,rounded,å
312,ɶ,open,front,rounded,ø
305,ɑ,open,back,unrounded,á
304,a,open,front,unrounded,a
